,Rk,Name,GP,G,A,P,PIM,+/-,TOI,PPG,GWG,PPP,G/GP,A/GP,P/GP,SHOTS,HITS,BS,Year,SH%
66,22,Brent Burns,82,16,67,83,34,13,25.08,7,6,28,0.195,0.817,1.012,300,90,105,2018,0.053
67,42,Brent Burns,82,12,55,67,46,-16,25.23,5,2,27,0.146,0.671,0.817,332,79,136,2017,0.036
68,80,Brock Boeser,69,26,30,56,22,-2,19.15,6,3,15,0.377,0.435,0.812,209,14,22,2018,0.124
69,91,Brock Boeser,62,29,26,55,16,-5,17.48,10,4,23,0.468,0.419,0.887,179,29,24,2017,0.162
70,207,Brock Nelson,82,19,16,35,43,-4,14.73,4,3,8,0.232,0.195,0.427,138,50,52,2017,0.138
71,95,Brock Nelson,82,25,28,53,28,20,17.97,2,3,8,0.305,0.341,0.646,181,51,55,2018,0.138
72,162,Bryan Little,82,15,26,41,26,-12,15.82,4,5,7,0.183,0.317,0.5,126,62,29,2018,0.119
73,160,Bryan Little,82,16,27,43,28,2,16.93,2,2,12,0.195,0.329,0.524,129,50,33,2017,0.124
74,187,Bryan Rust,69,13,25,38,26,11,16.03,2,3,4,0.188,0.362,0.551,123,97,40,2017,0.106
75,206,Bryan Rust,72,18,17,35,24,10,15.9,0,4,0,0.25,0.236,0.486,141,119,59,2018,0.128
76,209,Calle Järnkrok,68,16,19,35,12,20,15.88,1,3,4,0.235,0.279,0.515,105,36,31,2017,0.152
77,312,Calle Järnkrok,79,10,16,26,12,13,15.42,1,1,2,0.127,0.203,0.329,106,56,22,2018,0.094
78,137,Cam Atkinson,65,24,22,46,14,19,18.92,3,5,10,0.369,0.338,0.708,231,32,29,2017,0.104
79,56,Cam Atkinson,80,41,28,69,20,3,19.37,8,8,14,0.513,0.35,0.863,295,27,25,2018,0.139
80,191,Carl Söderberg,77,16,21,37,26,1,17.35,3,3,5,0.208,0.273,0.481,150,71,64,2017,0.107
81,114,Carl Söderberg,82,23,26,49,26,-5,17.43,2,2,10,0.28,0.317,0.598,188,99,67,2018,0.122
82,197,Charlie Coyle,66,11,26,37,18,8,16.52,0,1,3,0.167,0.394,0.561,117,76,63,2017,0.094
83,221,Charlie Coyle,81,12,22,34,20,-1,16.77,1,2,4,0.148,0.272,0.42,155,77,56,2018,0.077
84,103,Chris Kreider,79,28,24,52,57,4,17.4,7,2,12,0.354,0.304,0.658,201,159,49,2018,0.139
85,190,Chris Kreider,58,16,21,37,44,-2,15.6,7,0,12,0.276,0.362,0.638,137,103,24,2017,0.117
86,120,Chris Tierney,81,9,39,48,26,-22,17.02,0,1,10,0.111,0.481,0.593,116,30,54,2018,0.078
87,176,Chris Tierney,82,17,23,40,8,0,15.98,3,2,7,0.207,0.28,0.488,118,26,45,2017,0.144
88,2,Claude Giroux,82,34,68,102,20,28,20.35,9,1,36,0.415,0.829,1.244,193,30,23,2017,0.176
89,19,Claude Giroux,82,22,63,85,24,9,21.45,2,4,23,0.268,0.768,1.037,229,28,19,2018,0.096
90,129,Clayton Keller,82,14,33,47,24,-21,18.23,1,5,19,0.171,0.402,0.573,200,16,21,2018,0.07
91,50,Clayton Keller,82,23,42,65,24,-7,18.08,6,3,20,0.28,0.512,0.793,212,7,28,2017,0.109
92,172,Colin Miller,82,10,31,41,53,-4,19.33,5,2,17,0.122,0.378,0.5,177,165,64,2017,0.057
93,276,Colin Miller,65,3,26,29,44,0,19.63,1,0,13,0.046,0.4,0.446,131,122,64,2018,0.023
94,283,Colton Parayko,80,10,18,28,15,20,22.78,4,3,8,0.125,0.225,0.35,176,127,157,2018,0.057
95,218,Colton Parayko,82,6,29,35,13,-7,22.6,2,0,9,0.073,0.354,0.427,212,120,141,2017,0.028
96,2,Connor McDavid,78,41,75,116,20,3,22.83,9,9,33,0.526,0.962,1.487,240,39,30,2018,0.171
97,1,Connor McDavid,82,41,67,108,26,20,21.53,5,7,20,0.5,0.817,1.317,274,28,46,2017,0.15
98,181,Craig Smith,76,21,17,38,20,11,15.12,4,2,8,0.276,0.224,0.5,205,77,33,2018,0.102
99,108,Craig Smith,79,25,26,51,24,20,15.37,9,2,14,0.316,0.329,0.646,229,60,35,2017,0.109
100,222,Danton Heinen,77,11,23,34,16,13,13.97,1,2,7,0.143,0.299,0.442,114,54,36,2018,0.097
101,135,Danton Heinen,77,16,31,47,16,10,15.02,2,4,12,0.208,0.403,0.61,135,45,33,2017,0.119
102,45,David Krejcí,81,20,53,73,16,7,17.67,6,4,16,0.247,0.654,0.901,139,28,24,2018,0.144
103,152,David Krejcí,64,17,27,44,18,10,16.87,7,2,13,0.266,0.422,0.688,119,31,35,2017,0.143
104,26,David Pastrnak,66,38,43,81,32,6,18.75,17,4,33,0.576,0.652,1.227,235,57,25,2018,0.162
105,21,David Pastrnak,82,35,45,80,37,10,17.98,13,5,26,0.427,0.549,0.976,246,55,31,2017,0.142
106,132,David Perron,57,23,23,46,46,3,17.08,7,1,14,0.404,0.404,0.807,112,52,13,2018,0.205
107,47,David Perron,70,16,50,66,50,1,17.78,1,4,18,0.229,0.714,0.943,125,118,20,2017,0.128
108,186,Derek Ryan,80,15,23,38,28,-15,15.6,3,1,7,0.188,0.288,0.475,135,52,27,2017,0.111
109,184,Derek Ryan,81,13,25,38,24,21,13.8,2,1,7,0.16,0.309,0.469,103,19,19,2018,0.126
110,87,Derek Stepan,82,14,42,56,26,-7,19.25,3,2,18,0.171,0.512,0.683,209,52,54,2017,0.067
111,210,Derek Stepan,72,15,20,35,14,-2,19.22,1,3,3,0.208,0.278,0.486,195,50,51,2018,0.077
112,140,Derick Brassard,72,21,25,46,34,0,17.72,5,3,6,0.292,0.347,0.639,197,96,25,2017,0.107
113,347,Derick Brassard,70,14,9,23,39,-19,14.98,2,0,5,0.2,0.129,0.329,110,102,15,2018,0.127
114,246,Devin Shore,82,11,21,32,14,-30,15.42,2,1,11,0.134,0.256,0.39,123,71,57,2017,0.089
115,271,Devin Shore,76,10,19,29,13,-12,14.25,2,4,5,0.132,0.25,0.382,82,94,64,2018,0.122
116,153,Dougie Hamilton,82,17,27,44,64,1,21.5,6,4,12,0.207,0.329,0.537,270,83,80,2017,0.063
117,175,Dougie Hamilton,82,18,21,39,54,0,19.67,2,2,7,0.22,0.256,0.476,259,160,91,2018,0.07
118,75,Drew Doughty,82,10,50,60,54,23,26.82,3,4,20,0.122,0.61,0.732,205,127,128,2017,0.049
119,140,Drew Doughty,82,8,37,45,44,-34,26.58,7,1,24,0.098,0.451,0.549,154,168,120,2018,0.052
120,107,Dustin Brown,72,22,29,51,24,-17,20.4,9,3,12,0.306,0.403,0.708,180,150,29,2018,0.122
121,68,Dustin Brown,81,28,33,61,58,31,19.83,9,6,15,0.346,0.407,0.753,222,189,33,2017,0.126
122,257,Dustin Byfuglien,42,4,27,31,69,4,24.35,1,1,16,0.095,0.643,0.738,115,77,51,2018,0.035
123,147,Dustin Byfuglien,69,8,37,45,112,15,24.33,4,1,22,0.116,0.536,0.652,193,147,100,2017,0.042
124,44,Dylan Larkin,76,32,41,73,75,-6,21.83,7,4,15,0.421,0.539,0.961,287,80,38,2018,0.112
125,61,Dylan Larkin,82,16,47,63,61,-9,19.83,1,4,8,0.195,0.573,0.768,232,76,42,2017,0.069
126,30,Elias Lindholm,81,27,51,78,20,30,20.03,9,5,26,0.333,0.63,0.963,182,82,39,2018,0.148
127,154,Elias Lindholm,81,16,28,44,18,-8,17.87,6,4,9,0.198,0.346,0.543,153,98,41,2017,0.105
128,26,Eric Staal,82,42,34,76,42,8,17.8,11,4,17,0.512,0.415,0.927,241,42,49,2017,0.174
129,104,Eric Staal,81,22,30,52,34,-7,18.12,7,6,15,0.272,0.37,0.642,215,41,28,2018,0.102
130,65,Erik Karlsson,71,9,53,62,36,-25,26.7,3,2,18,0.127,0.746,0.873,196,58,120,2017,0.046
131,141,Erik Karlsson,53,3,42,45,22,6,24.48,2,1,20,0.057,0.792,0.849,169,44,69,2018,0.018
132,96,Evander Kane,78,29,25,54,82,-9,19.57,3,2,9,0.372,0.321,0.692,307,159,34,2017,0.095
133,79,Evander Kane,75,30,26,56,153,-4,18.4,5,1,11,0.4,0.347,0.747,268,173,25,2018,0.112
134,4,Evgeni Malkin,78,42,56,98,87,16,18.98,14,7,38,0.538,0.718,1.256,239,48,32,2017,0.176
135,48,Evgeni Malkin,68,21,51,72,89,-25,18.8,9,5,26,0.309,0.75,1.059,187,54,33,2018,0.112
136,53,Evgeny Dadonov,82,28,42,70,8,-6,18.37,8,4,17,0.341,0.512,0.854,195,33,42,2018,0.144
137,49,Evgeny Dadonov,74,28,37,65,8,10,18.68,6,6,13,0.378,0.5,0.878,188,27,33,2017,0.149
138,19,Evgeny Kuznetsov,79,27,56,83,48,3,18.8,7,8,30,0.342,0.709,1.051,187,50,26,2017,0.144
139,49,Evgeny Kuznetsov,76,21,51,72,50,7,18.78,8,3,23,0.276,0.671,0.947,193,46,20,2018,0.109
140,110,Filip Forsberg,64,28,22,50,26,8,18.6,7,4,10,0.438,0.344,0.781,217,100,29,2018,0.129
141,54,Filip Forsberg,67,26,38,64,38,27,17.47,13,6,21,0.388,0.567,0.955,179,86,37,2017,0.145
142,213,Frans Nielsen,72,10,25,35,14,-7,16.67,0,4,8,0.139,0.347,0.486,120,79,44,2018,0.083
143,230,Frans Nielsen,79,16,17,33,14,1,15.82,4,3,7,0.203,0.215,0.418,134,49,62,2017,0.119
144,63,Gabriel Landeskog,78,25,37,62,37,16,20.13,8,1,17,0.321,0.474,0.795,183,149,51,2017,0.137
145,37,Gabriel Landeskog,73,34,41,75,51,17,21.13,10,9,27,0.466,0.562,1.027,243,120,64,2018,0.14
146,174,Gustav Nyquist,82,21,19,40,20,-2,17.83,3,2,8,0.256,0.232,0.488,213,65,36,2017,0.099
147,73,Gustav Nyquist,81,22,38,60,12,1,17.52,2,3,12,0.272,0.469,0.741,204,36,23,2018,0.108
148,169,Ivan Provorov,82,17,24,41,20,17,24.13,2,2,5,0.207,0.293,0.5,203,148,169,2017,0.084
149,315,Ivan Provorov,82,7,19,26,32,-16,25.1,0,1,2,0.085,0.232,0.317,145,123,149,2018,0.048
150,81,J.T. Miller,82,23,35,58,40,-4,17.02,11,5,18,0.28,0.427,0.707,143,124,26,2017,0.161
151,130,J.T. Miller,75,13,34,47,30,8,14.65,4,4,20,0.173,0.453,0.627,108,115,23,2018,0.12
152,55,Jack Eichel,67,25,39,64,32,-25,20.15,3,4,20,0.373,0.582,0.955,246,52,35,2017,0.102
153,24,Jack Eichel,77,28,54,82,26,-11,20.43,8,2,26,0.364,0.701,1.065,303,70,51,2018,0.092
154,78,Jaden Schwartz,62,24,35,59,26,15,19.38,6,3,11,0.387,0.565,0.952,157,52,30,2017,0.153
155,203,Jaden Schwartz,69,11,25,36,16,-6,18.12,2,1,5,0.159,0.362,0.522,183,61,27,2018,0.06
156,159,Jake DeBrusk,70,16,27,43,19,13,14.37,2,5,9,0.229,0.386,0.614,143,70,26,2017,0.112
157,153,Jake DeBrusk,68,27,15,42,18,2,16.15,8,4,11,0.397,0.221,0.618,156,45,24,2018,0.173
158,107,Jake Gardiner,82,5,47,52,32,9,22.52,1,0,15,0.061,0.573,0.634,133,51,103,2017,0.038
159,267,Jake Gardiner,62,3,27,30,26,19,21.2,0,0,5,0.048,0.435,0.484,78,61,64,2018,0.039
160,34,Jake Guentzel,82,40,36,76,26,13,19.35,6,4,11,0.488,0.439,0.927,227,105,47,2018,0.176
161,128,Jake Guentzel,82,22,26,48,42,-9,16.48,7,1,12,0.268,0.317,0.585,171,142,46,2017,0.129
162,197,Jake Muzzin,80,9,28,37,47,21,21.33,1,1,5,0.113,0.35,0.463,141,172,134,2018,0.064
163,166,Jake Muzzin,74,8,34,42,40,10,21.65,4,1,14,0.108,0.459,0.568,154,170,123,2017,0.052
164,148,Jakob Silfverberg,73,24,19,43,28,-9,17.08,3,4,11,0.329,0.26,0.589,163,38,43,2018,0.147
165,175,Jakob Silfverberg,77,17,23,40,18,6,17.95,2,2,8,0.221,0.299,0.519,187,52,61,2017,0.091
166,62,Jakub Vorácek,78,20,46,66,25,-16,18.67,4,2,18,0.256,0.59,0.846,210,17,29,2018,0.095
167,15,Jakub Vorácek,82,20,65,85,50,10,19.45,5,3,35,0.244,0.793,1.037,228,23,32,2017,0.088
168,116,James van Riemsdyk,66,27,21,48,18,-10,16.6,8,4,13,0.409,0.318,0.727,167,34,16,2018,0.162
169,94,James van Riemsdyk,81,36,18,54,30,1,14.88,11,5,20,0.444,0.222,0.667,248,40,23,2017,0.145
170,22,Jamie Benn,82,36,43,79,54,20,19.82,9,7,22,0.439,0.524,0.963,241,140,62,2017,0.149
171,94,Jamie Benn,78,27,26,53,56,14,18.22,8,2,11,0.346,0.333,0.679,189,142,71,2018,0.143
172,198,Jared Spurgeon,61,9,28,37,8,-6,24.53,3,2,13,0.148,0.459,0.607,110,64,127,2017,0.082
173,151,Jared Spurgeon,82,14,29,43,20,-1,24.13,4,0,11,0.171,0.354,0.524,152,91,145,2018,0.092
174,222,Jason Pominville,82,16,18,34,8,-17,14.88,5,1,7,0.195,0.22,0.415,168,39,35,2017,0.095
175,245,Jason Pominville,73,16,15,31,4,-4,12.45,1,3,2,0.219,0.205,0.425,134,18,20,2018,0.119
176,154,Jason Zucker,81,21,21,42,28,-9,17.07,7,5,14,0.259,0.259,0.519,214,87,38,2018,0.098
177,52,Jason Zucker,82,33,31,64,44,8,16.95,7,7,16,0.402,0.378,0.78,222,80,47,2017,0.149
178,164,Jeff Petry,82,12,30,42,28,-30,23.48,6,2,23,0.146,0.366,0.512,178,167,138,2017,0.067
179,135,Jeff Petry,82,13,33,46,28,-5,23.12,3,4,11,0.159,0.402,0.561,172,190,123,2018,0.076
180,66,Jeff Skinner,82,40,23,63,36,0,18.52,8,7,16,0.488,0.28,0.768,268,31,24,2018,0.149
181,121,Jeff Skinner,82,24,25,49,34,-27,16.7,4,2,9,0.293,0.305,0.598,277,35,24,2017,0.087
182,237,Jesper Bratt,51,8,25,33,6,-8,15.17,1,1,8,0.157,0.49,0.647,91,36,22,2018,0.088
183,212,Jesper Bratt,74,13,22,35,18,-16,15.23,4,2,12,0.176,0.297,0.473,100,44,22,2017,0.13
184,64,Joe Pavelski,75,38,26,64,22,-4,19.03,12,6,21,0.507,0.347,0.853,188,69,61,2018,0.202
185,46,Joe Pavelski,82,22,44,66,41,0,19.25,7,1,23,0.268,0.537,0.805,224,93,70,2017,0.098
186,108,Joe Thornton,73,16,35,51,20,8,15.53,3,4,15,0.219,0.479,0.699,90,17,14,2018,0.178
187,203,Joe Thornton,47,13,23,36,38,-9,18.35,7,1,18,0.277,0.489,0.766,75,32,18,2017,0.173
188,40,John Carlson,82,15,53,68,32,0,24.78,4,4,32,0.183,0.646,0.829,237,47,146,2017,0.063
189,55,John Carlson,80,13,57,70,34,21,25.05,3,1,33,0.163,0.713,0.875,185,54,164,2018,0.07
190,139,John Klingberg,64,10,35,45,12,6,24.52,5,5,20,0.156,0.547,0.703,153,42,77,2018,0.065
191,43,John Klingberg,82,8,59,67,26,10,24.07,1,3,23,0.098,0.72,0.817,204,44,109,2017,0.039
192,16,John Tavares,82,47,41,88,34,19,19.08,10,8,19,0.573,0.5,1.073,286,59,53,2018,0.164
193,16,John Tavares,82,37,47,84,26,-12,19.92,12,3,30,0.451,0.573,1.024,257,30,34,2017,0.144
194,8,Johnny Gaudreau,82,36,63,99,24,18,20.07,6,8,27,0.439,0.768,1.207,245,12,12,2018,0.147
195,18,Johnny Gaudreau,80,24,60,84,26,2,19.42,3,4,24,0.3,0.75,1.05,227,16,18,2017,0.106
196,99,Jonathan Drouin,81,18,35,53,26,-8,16.92,3,3,16,0.222,0.432,0.654,190,55,23,2018,0.095
197,143,Jonathan Drouin,77,13,33,46,30,-28,17.62,4,4,22,0.169,0.429,0.597,164,55,27,2017,0.079
198,38,Jonathan Huberdeau,82,27,42,69,32,-2,19.2,7,4,19,0.329,0.512,0.841,204,41,42,2017,0.132
199,13,Jonathan Huberdeau,82,30,62,92,40,-14,18.85,11,5,34,0.366,0.756,1.122,226,57,45,2018,0.133
200,30,Jonathan Marchessault,77,27,48,75,40,36,17.52,6,6,16,0.351,0.623,0.974,268,99,26,2017,0.101
