Rk,Name,GP,G,A,P,PIM,+/-,TOI,PPG,GWG,PPP,G/GP,A/GP,P/GP,SHOTS,SH%,HITS,BS
32,Ryan O'Reilly,82,28,49,77,12,22,20:45,6,5,22,0.341,0.598,0.939,234,12.00%,31,36
33,Alex DeBrincat,82,41,35,76,15,0,17:42,13,3,24,0.5,0.427,0.927,220,18.60%,35,26
34,Jake Guentzel,82,40,36,76,26,13,19:21,6,4,11,0.488,0.439,0.927,227,17.60%,105,47
35,Sean Couturier,80,33,43,76,34,2,22:07,8,5,17,0.413,0.538,0.95,223,14.80%,40,60
36,Teuvo Teräväinen,82,21,55,76,12,30,17:55,8,1,24,0.256,0.671,0.927,167,12.60%,35,23
37,Gabriel Landeskog,73,34,41,75,51,17,21:08,10,9,27,0.466,0.562,1.027,243,14.00%,120,64
38,Tomas Hertl,77,35,39,74,18,5,19:01,11,5,15,0.455,0.506,0.961,176,19.90%,53,64
39,Mika Zibanejad,82,30,44,74,47,-12,20:33,11,5,23,0.366,0.537,0.902,236,12.70%,134,66
40,Nicklas Bäckström,80,22,52,74,30,2,19:57,7,5,25,0.275,0.65,0.925,169,13.00%,54,30
41,Mark Giordano,78,17,57,74,69,39,24:14,3,2,21,0.218,0.731,0.949,221,7.70%,58,144
42,Auston Matthews,68,37,36,73,12,-9,18:33,12,5,20,0.544,0.529,1.074,251,14.70%,28,60
43,Mark Stone,77,33,40,73,27,17,19:53,6,4,20,0.429,0.519,0.948,199,16.60%,72,71
44,Dylan Larkin,76,32,41,73,75,-6,21:50,7,4,15,0.421,0.539,0.961,287,11.20%,80,38
45,David Krejcí,81,20,53,73,16,7,17:40,6,4,16,0.247,0.654,0.901,139,14.40%,28,24
46,Alexander Radulov,70,29,43,72,54,22,19:46,7,7,23,0.414,0.614,1.029,209,13.90%,60,83
47,Max Domi,82,28,44,72,80,20,17:22,4,2,11,0.341,0.537,0.878,203,13.80%,53,39
48,Evgeni Malkin,68,21,51,72,89,-25,18:48,9,5,26,0.309,0.75,1.059,187,11.20%,54,33
49,Evgeny Kuznetsov,76,21,51,72,50,7,18:47,8,3,23,0.276,0.671,0.947,193,10.90%,46,20
50,Morgan Rielly,82,20,52,72,14,24,23:07,3,5,21,0.244,0.634,0.878,223,9.00%,61,114
51,Mike Hoffman,82,36,34,70,30,-24,17:50,17,6,35,0.439,0.415,0.854,253,14.20%,42,26
52,Matt Duchene,73,31,39,70,8,-3,18:50,6,1,14,0.425,0.534,0.959,172,18.00%,28,40
53,Evgeny Dadonov,82,28,42,70,8,-6,18:22,8,4,17,0.341,0.512,0.854,195,14.40%,33,42
54,Logan Couture,81,27,43,70,22,-6,18:35,6,3,18,0.333,0.531,0.864,204,13.20%,65,52
55,John Carlson,80,13,57,70,34,21,25:03,3,1,33,0.163,0.713,0.875,185,7.00%,54,164
56,Cam Atkinson,80,41,28,69,20,3,19:22,8,8,14,0.513,0.35,0.863,295,13.90%,27,25
57,Ryan Nugent-Hopkins,82,28,41,69,26,-13,20:06,8,3,26,0.341,0.5,0.841,208,13.50%,69,40
58,Vladimir Tarasenko,76,33,35,68,22,8,18:23,12,5,22,0.434,0.461,0.895,275,12.00%,88,40
59,Kyle Connor,82,34,32,66,18,-7,19:15,11,5,19,0.415,0.39,0.805,227,15.00%,9,21
60,Timo Meier,78,30,36,66,55,9,16:58,6,2,10,0.385,0.462,0.846,250,12.00%,99,40
61,Elias Pettersson,71,28,38,66,12,3,18:13,10,7,22,0.394,0.535,0.93,144,19.40%,42,51
62,Jakub Vorácek,78,20,46,66,25,-16,18:40,4,2,18,0.256,0.59,0.846,210,9.50%,17,29
63,Sam Reinhart,82,22,43,65,16,-10,18:57,2,1,15,0.268,0.524,0.793,180,12.20%,38,47
64,Joe Pavelski,75,38,26,64,22,-4,19:02,12,6,21,0.507,0.347,0.853,188,20.20%,69,61
65,Ryan Johansen,80,14,50,64,42,7,19:33,0,6,16,0.175,0.625,0.8,136,10.30%,95,23
66,Jeff Skinner,82,40,23,63,36,0,18:31,8,7,16,0.488,0.28,0.768,268,14.90%,31,24
67,Mathew Barzal,82,18,44,62,46,-5,17:55,3,3,18,0.22,0.537,0.756,179,10.10%,25,56
68,Keith Yandle,82,9,53,62,50,-17,22:26,7,2,39,0.11,0.646,0.756,199,4.50%,47,76
69,Zach Parise,74,28,33,61,26,-2,18:40,10,5,16,0.378,0.446,0.824,229,12.20%,49,71
70,Bo Horvat,82,27,34,61,33,-4,20:50,7,3,18,0.329,0.415,0.744,227,11.90%,62,63
71,Pierre-Luc Dubois,82,27,34,61,64,16,17:42,2,5,9,0.329,0.415,0.744,174,15.50%,115,52
72,Anze Kopitar,81,22,38,60,30,-20,22:18,1,3,19,0.272,0.469,0.741,156,14.10%,59,66
73,Gustav Nyquist,81,22,38,60,12,1,17:31,2,3,12,0.272,0.469,0.741,204,10.80%,36,23
74,Erik Gustafsson,79,17,43,60,34,-6,22:35,4,3,18,0.215,0.544,0.759,160,10.60%,100,115
75,Jonathan Marchessault,82,25,34,59,52,2,18:08,5,6,16,0.305,0.415,0.72,278,9.00%,98,22
76,Tyson Barrie,78,14,45,59,36,-3,21:46,2,2,25,0.179,0.577,0.756,218,6.40%,48,93
77,Tomas Tatar,80,25,33,58,34,21,16:24,4,4,8,0.313,0.413,0.725,195,12.80%,77,30
78,Dylan Strome,78,20,37,57,20,-8,16:09,6,3,16,0.256,0.474,0.731,145,13.80%,13,46
79,Evander Kane,75,30,26,56,153,-4,18:24,5,1,11,0.4,0.347,0.747,268,11.20%,173,25
80,Brock Boeser,69,26,30,56,22,-2,19:09,6,3,15,0.377,0.435,0.812,209,12.40%,14,22
81,Ryan Dzingel,78,26,30,56,29,-9,16:48,5,5,11,0.333,0.385,0.718,159,16.40%,54,38
82,William Karlsson,82,24,32,56,16,1,18:50,7,5,14,0.293,0.39,0.683,169,14.20%,51,55
83,Kevin Labanc,82,17,39,56,36,-1,14:01,2,4,20,0.207,0.476,0.683,130,13.10%,66,16
84,Kristopher Letang,65,16,40,56,48,13,25:57,2,3,19,0.246,0.615,0.862,206,7.80%,116,111
85,Joshua Bailey,82,16,40,56,21,8,16:49,2,4,14,0.195,0.488,0.683,126,12.70%,19,32
86,Roman Josi,82,15,41,56,42,9,25:09,2,4,12,0.183,0.5,0.683,274,5.50%,53,144
87,Kevin Hayes,71,19,36,55,12,-2,18:16,3,2,11,0.268,0.507,0.775,156,12.20%,58,15
88,Thomas Chabot,70,14,41,55,32,-12,24:17,1,2,16,0.2,0.586,0.786,185,7.60%,71,112
89,Andreas Athanasiou,76,30,24,54,38,-9,16:58,3,4,11,0.395,0.316,0.711,216,13.90%,33,26
90,T.J. Oshie,69,25,29,54,36,5,18:36,6,4,14,0.362,0.42,0.783,143,17.50%,133,55
91,Brayden Schenn,72,17,37,54,40,3,18:35,4,5,12,0.236,0.514,0.75,159,10.70%,111,31
92,Mikael Granlund,79,16,38,54,24,-8,18:20,2,5,20,0.203,0.481,0.684,189,8.50%,46,40
93,Victor Hedman,70,12,42,54,44,24,22:46,2,4,25,0.171,0.6,0.771,182,6.60%,59,97
94,Jamie Benn,78,27,26,53,56,14,18:13,8,2,11,0.346,0.333,0.679,189,14.30%,142,71
95,Brock Nelson,82,25,28,53,28,20,17:58,2,3,8,0.305,0.341,0.646,181,13.80%,51,55
96,Justin Williams,82,23,30,53,44,-4,17:26,9,5,14,0.28,0.366,0.646,237,9.70%,55,32
97,Nino Niederreiter,82,23,30,53,30,-4,16:13,6,3,15,0.28,0.366,0.646,184,12.50%,94,20
98,Reilly Smith,74,19,34,53,14,13,18:16,4,1,14,0.257,0.459,0.716,178,10.70%,39,33
99,Jonathan Drouin,81,18,35,53,26,-8,16:55,3,3,16,0.222,0.432,0.654,190,9.50%,55,23
100,Phillip Danault,81,12,41,53,39,17,17:46,0,1,4,0.148,0.506,0.654,132,9.10%,95,60
101,Torey Krug,64,6,47,53,33,-2,21:18,2,2,30,0.094,0.734,0.828,151,4.00%,53,60
102,Brendan Gallagher,82,33,19,52,49,10,16:23,4,4,7,0.402,0.232,0.634,302,10.90%,126,31
103,Chris Kreider,79,28,24,52,57,4,17:24,7,2,12,0.354,0.304,0.658,201,13.90%,159,49
104,Eric Staal,81,22,30,52,34,-7,18:07,7,6,15,0.272,0.37,0.642,215,10.20%,41,28
105,Alex Tuch,74,20,32,52,8,13,16:43,3,6,6,0.27,0.432,0.703,180,11.10%,92,40
106,Anders Lee,82,28,23,51,58,20,17:05,10,5,16,0.341,0.28,0.622,204,13.70%,103,51
107,Dustin Brown,72,22,29,51,24,-17,20:24,9,3,12,0.306,0.403,0.708,180,12.20%,150,29
108,Joe Thornton,73,16,35,51,20,8,15:32,3,4,15,0.219,0.479,0.699,90,17.80%,17,14
109,Patrik Laine,82,30,20,50,42,-24,17:13,15,3,23,0.366,0.244,0.61,245,12.20%,70,44
110,Filip Forsberg,64,28,22,50,26,8,18:36,7,4,10,0.438,0.344,0.781,217,12.90%,100,29
111,Kyle Palmieri,74,27,23,50,42,-9,18:09,11,2,18,0.365,0.311,0.676,224,12.10%,98,35
112,Jacob Trouba,82,8,42,50,58,8,22:52,3,1,18,0.098,0.512,0.61,162,4.90%,112,171
113,Travis Konecny,82,24,25,49,40,-4,15:15,4,3,8,0.293,0.305,0.598,182,13.20%,65,45
114,Carl Söderberg,82,23,26,49,26,-5,17:26,2,2,10,0.28,0.317,0.598,188,12.20%,99,67
115,Viktor Arvidsson,58,34,14,48,26,12,19:08,3,7,4,0.586,0.241,0.828,195,17.40%,18,23
116,James van Riemsdyk,66,27,21,48,18,-10,16:36,8,4,13,0.409,0.318,0.727,167,16.20%,34,16
117,Anthony Mantha,67,25,23,48,30,-8,17:49,7,1,13,0.373,0.343,0.716,198,12.60%,67,23
118,Yanni Gourde,80,22,26,48,66,9,15:50,5,5,9,0.275,0.325,0.6,130,16.90%,83,30
119,Ryan Getzlaf,67,14,34,48,58,-19,19:27,1,2,11,0.209,0.507,0.716,133,10.50%,150,74
120,Chris Tierney,81,9,39,48,26,-22,17:01,0,1,10,0.111,0.481,0.593,116,7.80%,30,54
121,Tyler Johnson,80,29,18,47,28,15,15:56,1,4,8,0.363,0.225,0.588,163,17.80%,50,32
122,Josh Anderson,82,27,20,47,60,25,17:01,3,5,7,0.329,0.244,0.573,230,11.70%,214,40
123,Jakub Vrana,82,24,23,47,27,20,14:02,1,4,4,0.293,0.28,0.573,161,14.90%,47,32
124,Brandon Saad,80,23,24,47,12,-9,17:41,5,3,6,0.288,0.3,0.588,195,11.80%,52,25
125,Tyler Bertuzzi,73,21,26,47,36,11,16:30,3,4,6,0.288,0.356,0.644,131,16.00%,76,39
